id,Total_Charge,BV,X,Y,3.5V,4.5V,Ron,Vf,gap,width,ngr,sigma,depth
622,6.42369974413e-9,-323.064302837,0.705810546875,575.011586914,22016933.3429,75982903.6111,0.00315653246952,6.35888806036,4.07,3.37,19,0.05,0.95
623,1.00072482471e-8,-720.603353616,0.52880859375,574.95421875,27691320.137,101959471.655,0.00226830580208,5.53994867727,2.16,3.12,26,0.096,0.67
624,6.39478964702e-9,-316.10922415,0.408447265625,574.998491211,29916906.0954,111806751.443,0.00142012569463,5.35127631427,3.21,3.5,2,0.0489,0.62
626,7.28225024637e-9,-402.339309865,0.58544921875,575.053718262,24830798.1929,88277100.0043,0.00294731584603,5.90874887761,4.86,4.43,19,0.0905,0.78
627,5.88768289534e-9,-275.693494405,0.4013671875,574.994384766,29896907.3314,111816764.472,0.0020644184158,5.34927168645,3.7,3.6,19,0.0475,0.62
628,1.24724328756e-8,-1079.85715591,0.50048828125,607.41081543,27273783.4539,99766097.0686,0.00170587396398,5.59297748328,1.42,1.28,12,0.0863,0.69
629,5.8404746676e-9,-270.201714749,0.393768666634,574.991027832,30075477.9248,111865361.665,0.00283423991185,5.35147455299,4.51,3.74,32,0.035,0.61
630,5.75015563901e-9,-266.453692874,0.210205078125,574.968017578,37646596.0652,150140267.532,0.00100670713975,4.84905454757,2.8,2.6,1,0.0348,0.43
631,5.04102011088e-9,-211.38028249,0.397827148438,574.980932617,29821915.9953,110351561.475,0.0014222642799,5.37787582404,4.62,4.18,1,0.018,0.63
632,7.73933986621e-9,-451.387472005,0.35888671875,575.015888672,31679556.3097,120010321.796,0.00137317049377,5.21988290948,2.51,4.08,4,0.0682,0.55
633,7.15116228558e-9,-382.755464435,0.75537109375,575.007446289,21801027.9442,75391046.4679,0.00328874045729,6.37995273624,3.14,3.86,22,0.0458,0.97
635,6.68792369013e-9,-342.961481912,0.27392578125,575.026245117,34918024.7263,134937263.566,0.00111198840552,5.01949075805,2.76,2.67,0,0.0742,0.47
637,5.7197841322e-9,-265.292986649,-0.080078125,574.982890625,59773888.9268,262574157.525,0.000580284486003,4.23295777689,2.71,2.97,3,0.0641,0.15
638,7.01269658827e-9,-375.851807037,0.16064453125,575.010839844,41061280.2461,167135428.793,0.0010548207089,4.70991686845,2.06,1.03,18,0.0561,0.36
640,6.70019327578e-9,-346.040400825,0.224365234375,574.999943848,37649937.4181,149853528.088,0.0013868099832,4.85979185423,2.71,2.47,21,0.0595,0.42
642,7.95945808766e-9,-476.591033887,0.01904296875,574.946777344,52124778.6865,226591750.334,0.000803699302248,4.37195066427,1.12,2.94,18,0.0355,0.23
643,6.35507484683e-9,-309.015944962,0.5712890625,642.434150391,25486206.5216,90929374.0874,0.00210690141708,5.83206518897,0.4,3.57,17,0.0367,0.78
644,7.15075583634e-9,-387.076395166,0.76953125,575.021989746,21673677.3514,74956591.0388,0.00282357416457,6.39344268878,4.46,4.36,11,0.0756,0.96
645,6.65860576177e-9,-346.890907149,0.337646484375,575.036621094,32207018.0066,121628061.749,0.00183394303119,5.19203838181,4.12,4.38,15,0.07,0.54
646,8.25624016449e-9,-500.473630819,0.1181640625,612.135058594,42212273.1769,176344214.747,0.00093610948269,4.63674548904,0.47,0.73,31,0.0122,0.36
647,6.96348760544e-9,-378.670451282,0.33056640625,575.02925415,33074173.7386,127495822.371,0.00208898028952,5.11122966707,3.37,3.94,27,0.0776,0.51
648,6.70517065158e-9,-350.226626659,0.281005859375,575.000195312,34101276.8629,130714935.819,0.00130621844579,5.0641599633,2.15,1.73,10,0.0444,0.5
649,5.87046267168e-9,-271.783266375,0.507568359375,574.98046875,26516374.8948,95924480.3373,0.00302677953001,5.69735307704,3.94,4.97,25,0.022,0.74
650,9.30513779958e-9,-633.803826124,0.309326171875,574.93946167,34024946.6452,130579094.744,0.00159026669957,5.06857056037,1.56,2.03,29,0.0452,0.5
651,5.24666119525e-9,-224.196393077,-0.0687569219016,574.937744141,60115743.1439,277967300.875,0.000576365777427,4.2037723118,1.89,0.59,15,0.0134,0.17
652,8.17653811208e-9,-501.00134309,-0.0234375,620.465673828,54869001.5748,232719992.544,0.000724429671144,4.34079260874,0.66,3.88,10,0.0951,0.18
653,6.92365277077e-9,-372.792625916,0.486328125,574.996474609,27279578.5521,100065340.881,0.00266728903444,5.59003312886,4.34,2.25,29,0.0844,0.69
654,7.06960784941e-9,-380.568582547,0.75537109375,575.004589844,22180075.009,77338941.0147,0.00336636569866,6.28500679943,4.46,3.44,22,0.0794,0.93
655,6.44781174965e-9,-326.744127496,0.01904296875,575.03628418,48392929.6041,206263349.864,0.000744410455729,4.46877262569,4.53,1.01,3,0.0922,0.25
657,6.10867951048e-9,-295.178520476,-0.0676109867944,575.029602051,60024970.0935,264481799.565,0.000605028330676,4.23407541229,2.19,1.06,10,0.0606,0.15
658,6.24804305042e-9,-303.411535168,0.38720703125,574.960517578,31317209.3683,117672819.213,0.00200660908713,5.25576206725,4.59,4.64,16,0.0516,0.57
659,7.83031286902e-9,-463.152004605,0.4580078125,575.001105957,29066506.2618,107599874.707,0.0020969340727,5.43652279555,2.69,4.1,19,0.0774,0.63
660,1.0402879018e-8,-768.856674856,0.72705078125,574.965063477,22845959.2418,79948271.6864,0.00302128155907,6.19061299527,2.06,4.29,23,0.0743,0.89
661,5.29619915922e-9,-228.058856756,-0.228410879144,575.030415322,73799620.0252,317024581.915,0.000644858471454,4.07558033816,3.97,4.0,14,0.0741,0.03
662,7.38827050701e-9,-413.855301628,0.712890625,622.781278076,23190552.0089,80953041.478,0.00224720241977,6.14839089644,0.77,4.54,9,0.0928,0.87
663,5.58365787572e-9,-251.121671509,0.705810546875,574.977177734,22532441.1483,78711920.1602,0.00266269055824,6.24243463321,4.64,3.28,12,0.0266,0.93
664,5.30914813677e-9,-232.806978501,-0.186279296875,574.989453125,76438520.1414,347707094.536,0.000503251160488,4.02949579646,1.0,1.14,30,0.0325,0.04
665,1.05770977141e-8,-798.571529707,0.16064453125,574.998417969,42052317.9506,172258730.987,0.00121861265833,4.67298577604,1.24,3.58,24,0.0684,0.34
666,6.08685351929e-9,-292.103963469,0.0615234375,574.9640625,48559539.6968,204827156.293,0.000823353894056,4.47350473596,4.27,1.35,8,0.0571,0.26
667,7.27973545567e-9,-412.61633227,0.21728515625,575.015449219,38871713.9863,156916625.812,0.000958790065833,4.78864409042,2.8,2.42,1,0.0966,0.38
669,9.76839677359e-9,-689.751421937,-0.0517578125,574.950913086,59484661.5278,264357246.692,0.000612414134944,4.23770962152,0.79,2.29,12,0.0435,0.16
670,6.83916202364e-9,-362.678208619,0.54296875,578.075859375,26022784.3855,93573166.1325,0.00166356825517,5.75548731106,1.03,0.51,2,0.0776,0.74
671,7.15465626199e-9,-395.884792621,0.373046875,574.96574707,31601693.257,119431940.761,0.0015117947035,5.2259166044,3.12,1.12,13,0.0729,0.55
672,1.00561080963e-8,-390.31589617,0.712890625,688.16197876,22525213.3837,78664006.2674,0.00280616232814,6.23494908775,0.44,3.75,27,0.0909,0.91
673,5.4381796175e-9,-234.376840771,0.337646484375,574.97230957,31810282.8163,120514435.652,0.00161137114654,5.20746770588,4.72,0.96,14,0.0335,0.56
675,5.53155300322e-9,-245.485773376,-0.044677734375,575.0146875,53262645.2209,229903219.725,0.00116988709931,4.3530363242,4.85,4.97,22,0.0547,0.21
